tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
kim,金,9080,kim,kim1,kim1,kim,kim,,
iánn,影,9036,iáⁿ,iann2,iann2,iann,iann,,
bóo,某,9022,bó͘,boo2,boo2,boo,boo,,
siū,受,8975,siū,siu7,siu7,siu,siu,,
tshù,厝,8959,chhù,tshu3,chhu3,tshu,chhu,,
iáu,猶,8915,iáu,iau2,iau2,iau,iau,,
tsóng,總,8896,chóng,tsong2,chong2,tsong,chong,,
tsai,知,8879,chai,tsai1,chai1,tsai,chai,,
tíng,頂,8873,téng,ting2,teng2,ting,teng,,
oo,烏,8830,o͘,oo1,oo1,oo,oo,,
tuē,地,8822,tōe,tue7,toe7,tue,toe,,
tē,地,8822,tē,te7,te7,te,te,,
tōng,動,8786,tōng,tong7,tong7,tong,tong,,
sîn,神,8753,sîn,sin5,sin5,sin,sin,,
lo̍h,落,8749,lo̍h,loh8,loh8,loh,loh,,
nih,呢,8729,nih,nih1,nih1,nih,nih,,
sió,小,8653,sió,sio2,sio2,sio,sio,,
huà,化,8649,hòa,hua3,hoa3,hua,hoa,,
hun,分,8581,hun,hun1,hun1,hun,hun,,
tsū,自,8553,chū,tsu7,chu7,tsu,chu,,
im,音,8544,im,im1,im1,im,im,,
kah,甲,8530,kah,kah1,kah1,kah,kah,,
sinn,生,8389,siⁿ,sinn1,sinn1,sinn,sinn,,
tsînn,錢,8339,chîⁿ,tsinn5,chinn5,tsinn,chinn,,
hái,海,8273,hái,hai2,hai2,hai,hai,,
tng,當,8208,tng,tng1,tng1,tng,tng,,
bîng,明,8206,bêng,bing5,beng5,bing,beng,,
siánn,啥,8104,siáⁿ,siann2,siann2,siann,siann,,
tsok,作,8045,chok,tsok1,chok1,tsok,chok,,
siá,寫,7896,siá,sia2,sia2,sia,sia,,
hàn,漢,7881,hàn,han3,han3,han,han,,
mn̂g,門,7855,mn̂g,mng5,mng5,mng,mng,,
guân,原,7811,goân,guan5,goan5,guan,goan,,
kiò,叫,7760,kiò,kio3,kio3,kio,kio,,
tè,帝,7740,tè,te3,te3,te,te,,
hue,花,7690,hoe,hue1,hoe1,hue,hoe,,
an,安,7594,an,an1,an1,an,an,,
kiàn,見,7496,kiàn,kian3,kian3,kian,kian,,
siūnn,想,7440,siūⁿ,siunn7,siunn7,siunn,siunn,,
sîng,成,7428,sêng,sing5,seng5,sing,seng,,
kiánn,囝,7404,kiáⁿ,kiann2,kiann2,kiann,kiann,,
ti,知,7399,ti,ti1,ti1,ti,ti,,
bí,美,7337,bí,bi2,bi2,bi,bi,,
tsiūnn,上,7319,chiūⁿ,tsiunn7,chiunn7,tsiunn,chiunn,,
sìn,信,7276,sìn,sin3,sin3,sin,sin,,
tē,第,7248,tē,te7,te7,te,te,,
tīng,定,7244,tēng,ting7,teng7,ting,teng,,
kín,緊,7239,kín,kin2,kin2,kin,kin,,
thian,天,7219,thian,thian1,thian1,thian,thian,,
kú,久,7160,kú,ku2,ku2,ku,ku,,
tshài,菜,7141,chhài,tshai3,chhai3,tshai,chhai,,
ka,加,7091,ka,ka1,ka1,ka,ka,,
ti̍t,直,7087,ti̍t,tit8,tit8,tit,tit,,
tō,道,7076,tō,to7,to7,to,to,,
bé,馬,7067,bé,be2,be2,be,be,,
ua̍h,活,7040,oa̍h,uah8,oah8,uah,oah,,
tiám,點,7036,tiám,tiam2,tiam2,tiam,tiam,,
sióng,想,7002,sióng,siong2,siong2,siong,siong,,
hiān,現,6999,hiān,hian7,hian7,hian,hian,,
giân,言,6993,giân,gian5,gian5,gian,gian,,
bú,母,6956,bú,bu2,bu2,bu,bu,,
lah,啦,6933,lah,lah1,lah1,lah,lah,,
li̍k,力,6904,le̍k,lik8,lek8,lik,lek,,
kháu,口,6893,kháu,khau2,khau2,khau,khau,,
kiann,驚,6862,kiaⁿ,kiann1,kiann1,kiann,kiann,,
uī,位,6819,ūi,ui7,ui7,ui,ui,,
