tl,hanzi
tha-khú-áng,tha-khú-áng
tha-thá-mih,tha-thá-mih
thak-khooh,thak-khooh
that-bí,that-bí
the-ní-suh,the-ní-suh
thia̋n-pú-lah,thia̋n-pú-lah
thoo-lá-khuh,thoo-lá-khuh
thoo-má-tooh,thoo-má-tooh
thài-ià,thài-ià
thài-lù,thài-lù
thàn-gòo,thàn-gòo
thàng-sù,thàng-sù
tshia̋n-pá-lah,tshia̋n-pá-lah
tsiak-kuh,tsiak-kuh
tsiok-kih,tsiok-kih
tsioo-kóo-lè-tòo,tsioo-kóo-lè-tòo
tsit-puh,tsit-puh
tòo-sàng,tòo-sàng
u-lóng,u-lóng
oo-kám-má-tooh,ua-khá-móo-tooh
ua-khá-móo-tooh,ua-khá-móo-tooh
ua-lù-tsuh,ua-lù-tsuh
ua-sá-bih,ua-sá-bih
ua̋i-siat-tsuh,ua̋i-siat-tsuh
àn-nāi,àn-nāi
àu-tsirh,àu-tsuh
àu-tsuh,àu-tsuh
á-geh,á-geh
òo-bà,òo-bà
ùn-tsiàng,ùn-tsiàng
gat-lá,ガラ
ga̍t-là,ガラ
ga̍t-lá,ガラ
gat-lá-thuànn,ガラ炭
ga̍t-la-thuànn,ガラ炭
thoo-má-tooh,トマト
hông,㑂
thú,㑏
hîng,㑞
māu,㑤
tsi̍t,㑵
ba̍t,㑻
iong,㒕
tsn̂g,㒰
tsuînn,㒰
tok,㓸
kong,㓻
lân,㔂
lân kam-tsià,㔂甘蔗
ap,㔩
ián,㕣
áu,㕭
hú,㕮
hong,㕼
tsiu,㖄
kin,㚬
kun,㚬
i,㛄
tshàn,㛑
bám,㛧
am,㛺
í,㝢
ú,㝢
thuí,㞂
ku,㞐
tsîm,㞥
kong,㟵
hong,㠦
hān,㢃
bî,㣲
gê,㤉
gê-siâu,㤉潲
gê-ba̍k,㤉目
iok,㤢
mau,㧌
khê,㧎
hiat,㧒
tu,㧣
tu-hong,㧣風
nái,㧱
tok,㧻
tàng,㨂
tòng,㨂
tàng-kah,㨂甲
tsang,㨑
liû,㨨
hainnh,㨪
ba̍t,㨸
tsānn,㨻
tsānn hî,㨻魚
tsānn hû,㨻魚
ku,㪺
hu,㭪
iû,㳺
bāu,㴘
bāu mī,㴘麵
tsha̍p,㴙
tsha̍p-tsha̍p-liām,㴙㴙唸
tsha̍p-tsha̍p-tih,㴙㴙滴
tsha̍p-tsha̍p-lo̍h,㴙㴙落
bî,㵟
ap,㷈
ia̍p,㷈
thui,㷟
tsau,㷮
hong,㸼
thu,㻬
iong,㻾
sìm,㽎
kong,㽘
khiap,㾀
khiap-sì,㾀勢
khiap-sì-miā,㾀勢命
khiap-miā,㾀命
khiap-sái,㾀屎
ian,㾓
kông,㾠
thuí,㾽
siam,䀐
ku,䀠
hong,䀱
au,䁱
hông,䂫
hông,䃔
iong,䄃
bái,䆀
bái bī,䆀味
bái-tshiú,䆀手
bái-tshiú-á-kuāi,䆀手仔拐
bái-tsâi,䆀才
bái-tsáinn,䆀指
bái-tah,䆀搭
bái-liāu,䆀料
bái-khuì,䆀氣
bái-hué,䆀火
bái-hé,䆀火
bái-kâu,䆀猴
bái-khang,䆀空
bái-tāu-á,䆀豆仔
hông,䆖
ham,䈄
hông,䉺
bîng,䊅
kiān,䊕
tsiū,䊘
hîng,䊺
huân,䌓
hòng,䌙
hóng,䌙
tok,䐁
tsit,䐈
ióng,䑆
tsha,䑡
gôo,䓊
bâu,䓮
hu,䓵
siau,䔥
sio,䔥
hù,䔰
ka,䕒
bî,䕳
the,䖙
thenn,䖙
the-í,䖙椅
thenn-í,䖙椅
bîng,䖟
khut,䖦
thē,䖳
bí,䖹
ióng,䖹
tiông,䗅
ian,䗡
kah,䘥
kap,䘥
kah-á,䘥仔
uán,䘼
uínn,䘼
ńg,䘼
kián,䙭
kong,䚗
hīng,䛭
tshau,䜈
bāi,䜕
hông,䜶
bông,䝉
ku,䝻
iàn,䞁
ián,䞁
thong,䞶
ak,䠎
tshê,䠡
tshiāng,䢢
tshiāng-tú-tshiāng,䢢拄䢢
hù,䣱
hù,䣴
am,䤃
bîng,䥰
at,䦪
hong,䦭
tsiu,䨂
tshán,䩆
phué,䫌
àm,䬓
bí,䭧
hông,䭰
at,䯉
hîng,䯒
at,䰲
kong,䰸
iong,䱀
bí,䱊
kui,䲅
iân,䳒
bîng,䳟
hu,䴸
thong,䵯
hû,䵾
tsi̍t,一
it,一
tsi̍t-ē,一下
tsi̍t-ē-á,一下仔
tsi̍t-ē-tshiú,一下手
tsi̍t-sì-lâng,一世人
it--lâi,一來
tsi̍t kò ge̍h,一個月
tsi̍t kò gue̍h,一個月
it-tsài,一再
it-to-lióng-tuān,一刀兩斷
it-tshè,一切
tsi̍t-puànn,一半
tsi̍t-puànn-ê-á,一半个仔
tsi̍t-puànn-pái-á,一半擺仔
tsi̍t-puànn-ji̍t-á,一半日仔
tsi̍t-puànn-li̍t-á,一半日仔
tsi̍t kháu tsàu,一口灶
it-hiòng,一向
tsi̍t-sì-kuè,一四界
tsi̍t-sì-kè,一四界
tsi̍t-phû-sái,一垺屎
tsi̍t-pû-sái,一垺屎
it-iā-tsîng,一夜情
tsi̍t-iā-tsîng,一夜情
tsi̍t-tuā-tui,一大堆
tsi̍t-tuā-thua,一大拖
tsi̍t-tuā-phìnn,一大片
tsi̍t-thò-sann,一套衫
it-jī-pênn,一字平
it-jī-pînn,一字平
it-tīng,一定
tsi̍t-ke-hué-á,一家伙仔
tsi̍t-ke-hé-á,一家伙仔
tsi̍t-kuá,一寡
tsi̍t-kuá-á,一寡仔
tsi̍t tuì-sî,一對時
tsi̍t-sut-á,一屑仔
tsi̍t-kang,一工
tsi̍t-thiap-io̍h,一帖藥
tsi̍t-thiap-io̍rh,一帖藥
tsi̍t-thiap-io̍h-á,一帖藥仔
tsi̍t-thiap-io̍rh-á,一帖藥仔
tsi̍t-king,一弓
tsi̍t-kiong,一弓
it-lu̍t,一律
it-sim,一心
it-sim-it-ì,一心一意
it-pit-it-tiòng,一必一中
tsi̍t-gi̍t,一日
tsi̍t-ji̍t,一日
tsi̍t-li̍t,一日
tsi̍t-ji̍t-kàu-àm,一日到暗
tsi̍t-li̍t-kàu-àm,一日到暗
it-tàn,一旦
tsi̍t-sî,一時
tsi̍t-sî-á,一時仔
tsi̍t-poo,一晡
tsi̍t ge̍h-li̍t,一月日
tsi̍t gue̍h-ji̍t,一月日
tsi̍t-ho̍k-io̍h,一服藥
tsi̍t-pî,一枇
tsi̍t-pînn,一枇
tsi̍t-pue,一桮
it-khài,一概
it-kài,一概
it-bôo-it-iūnn,一模一樣
tsi̍t-lóo,一櫓
tsi̍t-tsâng-tshiū,一欉樹
tsi̍t-tsâng-tshiǔ,一欉樹
tsi̍t-tsâng-tshiū-á,一欉樹仔
tsi̍t-pōo-tshú,一步取
it-liû,一流
it-phiàn,一片
tsi̍t-bān-kam,一瓣柑
tsi̍t-bǎn-kam,一瓣柑
tsi̍t-pān-kam,一瓣柑
tsi̍t-pān-kam-á,一瓣柑仔
it-sing,一生
tsi̍t kah-tsí,一甲子
tsi̍t-phí-á,一疕仔
tsi̍t-pah khòng-it,一百空一
tsi̍t-pah-khòng-it,一百空一
tsi̍t-pah-khòng-tsi̍t,一百空一
tsi̍t-ba̍k-nih,一目𥍉
tsi̍t-ba̍k-nih-á,一目𥍉仔
it-ti̍t,一直
tsi̍t-khùn-á,一睏仔
tsi̍t-ha̍k-sái,一礐屎
tsi̍t-khoo,一箍
tsi̍t-khoo-gîn,一箍銀
tsi̍t-khoo-gîrn,一箍銀
tsi̍t-ko,一篙
it-lia̍p-it,一粒一
tsi̍t-si-á,一絲仔
it-tì,一致
it-puann,一般
it-puann-ti̍k,一般的
tsi̍t-tak-kú-á,一觸久仔
tsi̍t-táu-kú-á,一觸久仔
it-kuàn,一貫
tsi̍t-lōo,一路
tsi̍t-sian,一身
tsi̍t-sin,一身
tsi̍t-su-sann,一軀衫
it-liân-tshuàn,一連串
tsi̍t-pinn,一邊
tsi̍t-tsiah-gû,一隻牛
tsi̍t-tsiah-gû-á,一隻牛仔
tsi̍t-sang,一雙
tsi̍t-siang,一雙
tsi̍t-tiap-á-kú,一霎仔久
tsi̍t-bīn,一面
tsi̍t-niá-sann,一領衫
it-thé,一體
tsi̍t-tiám-á,一點仔
ting,丁
ting-kháu,丁口
khó,丂
tshit,七
tshit-tóo,七堵
tshit-tóo-khu,七堵區
tshit-sia̍h,七夕
tshit-si̍k,七夕
tshit-niû-má,七娘媽
tshit-niû-má-senn,七娘媽生
tshit-niû-má-sinn,七娘媽生
tshit-khóng,七孔
tshit-jī-á,七字仔
tshit-lī-á,七字仔
tshit-tsàn-thah,七層塔
tshit-tiunn,七張
tshit-tsá-peh-tsá,七早八早
tshit-tsá-pueh-tsá,七早八早
tshit-tshenn,七星
tshit-tshinn,七星
tshit-tshenn-suann,七星山
tshit-tshinn-suann,七星山
tshit-uànn-peh-uànn,七晏八晏
tshit-uànn-pueh-uànn,七晏八晏
tshit-ge̍h-puànn,七月半
tshit-gue̍h-puànn,七月半
tshit-iâ,七爺
tshit-iâ peh-iâ,七爺八爺
tshit-iâ pueh-iâ,七爺八爺
tshit-bí-hiong,七美鄉
tshit-lāu-peh-lāu,七老八老
tshit-lāu-pueh-lāu,七老八老
tshit-kóo-khu,七股區
tshit-kóo-liâu,七股寮
tshit-lí-hiong,七里香
bān,万
tiāng,丈
tiōng,丈
tiōnn,丈
tiūnn,丈
tiǔnn,丈
tn̄g,丈
tiūnn-lâng,丈人
tiūnn-lâng-kong,丈人公
tiūnn-lâng-má,丈人媽
tiūnn-lâng-pâ,丈人爸
tiōnn-kong,丈公
tiūnn-kong,丈公
tiǔnn-kong,丈公
tiūnn-ḿ,丈姆
tiūnn-ḿ-pô,丈姆婆
sann,三
sam,三
sàm,三
sam-tshit-á,三七仔
sam-put-gōo-sî,三不五時
sam-put-ho̍k,三不服
sam-put-tíng,三不等
sann-nn̄g-ē-tshiú,三兩下手
sam-pat,三八
sam-pat-khuì,三八氣
sam-pat-hōo,三八雨
sam-lio̍k-á,三六仔
sam-tshe-hô,三叉河
sann-ha̍p-īnn,三合院
sam-hô kok-tiong,三和國中
sam-kok,三國
sam-tē-mn̂g-hiong,三地門鄉
sann-tè-tshù,三塊厝
sam-to siong-khuan,三多商圈
sann-kak-înn-khuân,三多商圈
sam-thài-tsú,三太子
sann-koo,三姑
sam-sìng-kiô,三姓橋
sam-tsân,三層
sam-tsân-á,三層仔
sam-tsân-á-bah,三層仔肉
sam-tsân-bah,三層肉
sam-san-kok-ông,三山國王
sam-san-kok-ông-biō,三山國王廟
sam-kiap-khu,三峽區
sam-kiap-hô,三峽河
sann-tshiân-sì-tshiân,三延四延
sam-sim-lióng-ì,三心兩意
sàm-su,三思
sam-kàu,三教
sam-bûn-hî,三文魚
sam-bûn-hû,三文魚
sann-ji̍t-tseh,三日節
sann-li̍t-tsueh,三日節
sam-sing-hiong,三星鄉
sam-sî-iú-tsūn,三時有陣
sann-kenn,三更
sann-kinn,三更
sann-kenn-puànn-mê,三更半暝
sann-kinn-puànn-mî,三更半暝
sann-ge̍h-tsueh,三月節
sann-ge̍rh-tsueh,三月節
sam-bîn,三民
sam-bîn-khu,三民區
sam-bîn ko-tiong,三民高中
sam-un-luán,三溫暖
sam-uan-hiong,三灣鄉
sam-sing,三牲
sam-kài-kong,三界公
sam-kài-niû-á,三界娘仔
sam-huan-lióng-tshù,三番兩次
sam-hiân,三絃
sam-suànn-lōo,三線路
sam-gī,三義
sam-gī-hiong,三義鄉
sann-ki-tshiú,三肢手
sam-tsi-khu,三芝區
sann-tshin-la̍k-jīn,三親六認
sann-tshin-la̍k-līn,三親六認
sann-kak,三角
sann-kak-la̍k-tsiam,三角六尖
sann-kak-la̍k-king,三角六肩
sann-kak-tiàm,三角店
sann-kak-íng,三角湧
sann-kak-thang,三角窗
sann-kak-king,三角肩
sann-kak-khòo,三角褲
sann-kak-king,三角間
sam-tiau-niá,三貂嶺
sann-kha-niau,三跤貓
sann-kha-bé,三跤馬
sam-kun,三軍
sann-lián-á-tshia,三輪仔車
sann-lún-á-tshia,三輪仔車
sann-lián-tshia,三輪車
sann-lín-tshia,三輪車
sam-thong,三通
sam-tiông-khu,三重區
sam-tiông kok-sió,三重國小
sam-tiông-poo,三重埔
sann-tîng-poo,三重埔
sann-tn̂g-nn̄g-té,三長兩短
sann-tû-sì-khàu,三除四扣
sann tǹg,三頓
tsiōnn,上
tsiūnn,上
siāng,上
siōng,上
tshiōnn,上
tshiūnn,上
tshiǔnn,上
tsiǔnn,上
sióng,上
siōng-hā,上下
siāng-kú,上久
siōng-kú,上久
tsiūnn-jīm,上任
tsiūnn-līm,上任
siōng-guân,上元
siōng-guân-mê,上元暝
siōng-guân-mî,上元暝
siāng-ke,上加
siōng-ke,上加
tsiūnn-pak,上北
siōng-sing,上升
siōng-ngóo,上午
tsiūnn-siap-buē-liap,上卌袂攝
tsiūnn-siap-bē-liap,上卌袂攝
tsiūnn-tâi,上台
siōng-guân,上員
siōng-pênn-khe,上坪溪
siōng-pîng-khe,上坪溪
tsiūnn-tiûnn,上場
tshiūnn-bōng,上墓
tshiūnn-bōo,上墓
siōng-thian,上天
siāng hó,上好
siōng hó,上好
tsiūnn-o̍h,上學
siōng-kuan,上官
siōng-tsiòng,上將
siāng-tshe-kong,上尺工
siāng-bué,上尾
siōng-bué,上尾
siōng-bé,上尾
tsiūnn-suann,上山
tsiūnn-suann-thâu,上山頭
tsiūnn-huānn,上岸
tsiūnn-kiā,上崎
tsiūnn-tshī,上市
siōng-tè,上帝
siōng-tè-kong,上帝公
siōng-su,上師
siāng bān,上慢
siōng bān,上慢
tsiūnn-tshiú,上手
tsiūnn-kà,上教
siōng-hāu,上校
siōng-kàu,上校
tsiūnn-toh,上桌
tsiūnn-kuī,上櫃
tshiūnn-phú,上殕
tshiōnn-tsuí,上水
tshiū-tsuí,上水
tshiūnn-tsuí,上水
tshiǔnn-tsuí,上水
tshiūnn-lùn,上潤
siāng tsuē,上濟
siāng tsē,上濟
siōng tsuē,上濟
siōng tsē,上濟
siāng-bô,上無
siōng-bô,上無
siōng-pan,上班
tsiūnn-ba̍k,上目
tsiūnn-tâng,上童
siōng-tíng,上等
tsiūnn-sǹg,上算
tsiūnn-pān,上範
tsiūnn-bāng,上網
siāng kín,上緊
siōng kín,上緊
sióng-siann,上聲
siōng-siann,上聲
tsiūnn-siann,上聲
tsiūnn-kioh,上腳
tsiūnn-lo̍h,上落
siāng-kài,上蓋
siōng-kài,上蓋
siōng-sòo,上訴
siōng-khò,上課
tsiūnn-lōo,上路
tsiūnn-tshia,上車
tsiūnn-lio̍k,上陸
tshiūnn-tshenn-thî,上青苔
tshiūnn-tshenn-tî,上青苔
tshiūnn-tshinn-thî,上青苔
tshiūnn-tshinn-tî,上青苔
siāng-thâu-á,上頭仔
siōng-thâu-á,上頭仔
hā,下
ē,下
hē,下
e,下
hā-līng,下令
hā-guân,下元
ē-tang,下冬
hā-huān,下凡
ē-ûn,下勻
hā-ngóo,下午
ē-puànn-sì-lâng,下半世人
ē-puànn-mê,下半暝
ē-puànn-mî,下半暝
ē-puànn-sin,下半身
hā-tâi,下台
ē-si,下司
ē-huê,下回
hā-suî,下垂
ē-pi-thâu,下埤頭
hā-tiûnn,下場
ē-tsàn,下層
hā-san,下山
ē-pang,下幫
ē-tué,下底
ē-té,下底
hē-sim-sîn,下心神
hē-sènn-miā,下性命
hē-sìnn-miā,下性命
hē-tshiú,下手
ē-tshiú,下手
ē-pái,下擺
ē-kái,下改
ē-táu,下斗
ē-ji̍t,下日
ē-li̍t,下日
ē-ji̍t-á,下日仔
ē-li̍t-á,下日仔
e-tsá,下早
e-tsái,下早
e-tsái-á,下早仔
hā-sûn,下旬
e-hng,下昏
e-huinn,下昏
enn-hng,下昏
ē-hng,下昏
e-hng-àm,下昏暗
enn-hng-àm,下昏暗
e-hng-tǹg,下昏頓
enn-hng-tǹg,下昏頓
ē-hng-tǹg,下昏頓
e-tàu,下晝
ē-tàu,下晝
ēnn-tàu,下晝
e-tàu-tǹg,下晝頓
ē-tàu-tǹg,下晝頓
e-poo,下晡
enn-poo,下晡
ē-poo,下晡
e-àm,下暗
enn-àm,下暗
hē-pún,下本
ē-nâ-á,下林仔
ē-so-kûn,下梭裙
hā-to̍k,下毒
hē-to̍k,下毒
hā-suí,下水
hā-suí-thng,下水湯
ē-iân,下沿
hā-liû,下流
ē-káng,下港
ē-iânn-khu,下營區
hā-pan,下班
hā-siau,下痟
hā-tíng,下等
hē-lo̍h,下落
hā-khò,下課
ē-kha,下跤
ē-kha-tshiú-lâng,下跤手人
ē-sin,下身
hā-tsài,下載
ē-puè,下輩
hā-hiong,下鄉
hā-kàng,下降
ē-bīn,下面
ē-huâi,下頦
ē-hâi,下頦
ě-hâi,下頦
ē-thâu,下頭
ē-ām,下頷
ē-gok,下顎
ē-khok,下顎
ē-kok,下顎
hē-guān,下願
ē-ham,下𦜆
ki,丌
kì,丌
kî,丌
put,不
puh,不
put-sam-put-sù,不三不四
put-sam-sî,不三時
put-sám-sî,不三時
put-tiòng-iōng,不中用
put-jîn,不仁
put-lîn,不仁
put-tān,不但
put-piān,不便
put-pat-put-tshit,不八不七
put-tsài,不再
put-tsún,不准
put-lī,不利
put-tōng-sán,不動產
put-tsí,不只
put-khó,不可
put-khó-su-gī,不可思議
put-kiat,不吉
put-jû,不如
put-lû,不如
put-īn,不孕
put-hàu,不孝
put-hàu-tsú,不孝子
put-an,不安
put-gî,不宜
put-si̍t,不實
put-pîng,不平
put-hīng,不幸
put-tik,不得
put-tik-liáu,不得了
put-tit-liáu,不得了
put-tik-í,不得已
put-tit-í,不得已
put-tiong,不忠
put-tsâi,不才
put-kám-tong,不敢當
put-tuān,不斷
put-bîng,不明
put-sî,不時
put-ho̍k,不服
put-tsí,不止
put-tsí-á,不止仔
put-sú-kuí,不死鬼
put-pí,不比
put-kiû-jîn,不求人
put-kiû-lîn,不求人
put-huat,不法
put-buán,不滿
put-tsīn,不盡
put-ti-put-kak,不知不覺
put-tíng,不等
put-tap-put-tshit,不答不七
put-kuán,不管
put-kuán-sî,不管時
put-gī,不義
put-jî-kò,不而過
put-lî-kò,不而過
put-siàu,不肖
put-siàu-tsú,不肖子
put-liông,不良
put-kái,不解
put-kai,不該
put-lūn,不論
put-piàn,不變
put-tsiok,不足
put-kò,不過
bián,丏
kat,丐
kài,丐
thiú,丑
thiú-á,丑仔
tshiánn,且
tshiánn-bān,且慢
tshé-bān,且慢
phi,丕
sì,世
sè,世
sè-siōng,世上
sè-sū,世事
sè-jîn,世人
sè-lîn,世人
sè-tāi,世代
sè-sio̍k,世俗
sè-sio̍k-lâng,世俗人
sè-ka,世家
sè-tsîng,世情
sè-kài,世界
sè-kí,世紀
sè-ūn,世運
sè-kan,世間
sè-kan-lâng,世間人
khu,丘
khiu,丘
piánn,丙
píng,丙
sîng,丞
tiu,丟
lióng,両
iú,丣
lióng,两
phīng,並
pīng,並
pīng-tshiánn,並且
khún,丨
kiu,丩
kò,个
kòo,个
ê,个
tiong,中
ting,中
tiòng,中
tìng,中
tiong-tiong--á,中中仔
tiong-lâng,中人
tiòng-siong,中傷
tiong-guân,中元
tiong-khu,中區
tiong-lâm-hái,中南海
tiong-lâm-bí,中南美
tiong-lâm-pōo,中南部
tiong-guân,中原
tiong-kóo,中古
tiong-hô,中和
tiong-hô-khu,中和區
tiong-kok,中國
tiong-hîng,中型
tiong-poo-hiong,中埔鄉
tiong-li̍k,中壢
tiong-li̍k-khu,中壢區
ting-ing,中央
tiong-iang,中央
tiong-iong,中央
tiong-ng,中央
tiong-iong kong-hn̂g,中央公園
tiong-iang-tsiam-suann,中央尖山
tiong-iong-tsiam-suann,中央尖山
tiong-iang suann-me̍h,中央山脈
tiong-iong suann-me̍h,中央山脈
tiong-ha̍k,中學
tiong-o̍h,中學
tiong-liâu-hiong,中寮鄉
tiong-san,中山
tiong-san-khu,中山區
tiong-san kok-tiong,中山國中
tiong-san kok-sió,中山國小
tiong-liân,中年
tiong-sik,中式
tiong-sim,中心
tiong-sìng,中性
tìng-ì,中意
tiong-tsuínn,中指
tiong-tsái,中指
tiong-tsáinn,中指
tiong-tsán,中指
tiong-bûn,中文
tiong-sûn,中旬
tiong-tàu,中晝
tiong-tàu-sim,中晝心
tiong-tàu-sî,中晝時
tiong-tàu-tǹg,中晝頓
tiong-tàu-pn̄g,中晝飯
tiong-kî,中期
tiong-hāu,中校
tiong-kàu,中校
tiong-ênn,中楹
tiong-niôo,中樑
tiong-niû,中樑
tiong-su,中樞
tiong-tshu,中樞
tiong-tsí,中止
tiong-tsìng,中正
tiong-tsìng-khu,中正區
tiong-tsìng kì-liām-tn̂g,中正紀念堂
tiòng-to̍k,中毒
tiong-iû,中油
tiong-tsiu,中洲
tiong-káng-khe,中港溪
tiòng-tsióng,中獎
tiong-sing-tāi,中生代
tiòng-iōng,中用
tiong-puânn,中盤
tiong-gián-īnn,中研院
tiong-tshiu,中秋
tiong-tshiu-tseh,中秋節
tiong-tshiu-tsueh,中秋節
tiong-tshiu-piánn,中秋餅
tiong-li̍p,中立
tiong-tsām,中站
tiong-tíng,中等
tiong-pān,中範
tiong-bí,中美
tìng-thiann,中聽
tiong-tsit,中脊
tiong-tsit-ênn,中脊楹
tiong-tsit-înn,中脊楹
tiong-hing,中興
